query_id,matched_id,label,split,negative_type,source_metadata
1CDC_A_B,1CDC_A_B,1,train,,native_pair
1CDC_A_B,1CB7_B_D,0,train,random_cross,synthetic_negative
1CDC_A_B,1A6J_A_B,0,train,random_cross,synthetic_negative
1CDC_A_B,1B4K_A_B,0,train,random_cross,synthetic_negative
1A6J_A_B,1A6J_A_B,1,train,,native_pair
1A6J_A_B,1CFF_A_B,0,train,random_cross,synthetic_negative
1A6J_A_B,1AZZ_A_D,0,train,random_cross,synthetic_negative
1A6J_A_B,1BBH_A_B,0,train,random_cross,synthetic_negative
1BJ1_K_V,1BJ1_K_V,1,train,,native_pair
1BJ1_K_V,1CB7_B_D,0,train,random_cross,synthetic_negative
1BJ1_K_V,1CQI_A_B,0,train,random_cross,synthetic_negative
1BJ1_K_V,1BJA_A_B,0,train,random_cross,synthetic_negative
1BJA_A_B,1BJA_A_B,1,train,,native_pair
1BJA_A_B,1AZZ_A_D,0,train,random_cross,synthetic_negative
1BJA_A_B,1CLI_A_B,0,train,random_cross,synthetic_negative
1BJA_A_B,1A6J_A_B,0,train,random_cross,synthetic_negative
1CB7_B_D,1CB7_B_D,1,train,,native_pair
1CB7_B_D,1CDC_A_B,0,train,random_cross,synthetic_negative
1CB7_B_D,1BJ1_K_V,0,train,random_cross,synthetic_negative
1CB7_B_D,1CX8_G_F,0,train,random_cross,synthetic_negative
1BBH_A_B,1BBH_A_B,1,train,,native_pair
1BBH_A_B,1CFF_A_B,0,train,random_cross,synthetic_negative
1BBH_A_B,1AVO_K_L,0,train,random_cross,synthetic_negative
1BBH_A_B,1CDC_A_B,0,train,random_cross,synthetic_negative
1BCR_A_B,1BCR_A_B,1,train,,native_pair
1BCR_A_B,1CQI_A_B,0,train,random_cross,synthetic_negative
1BCR_A_B,1CX8_G_F,0,train,random_cross,synthetic_negative
1BCR_A_B,1CLI_A_B,0,train,random_cross,synthetic_negative
1CX8_G_F,1CX8_G_F,1,train,,native_pair
1CX8_G_F,1CFF_A_B,0,train,random_cross,synthetic_negative
1CX8_G_F,1BDF_C_D,0,train,random_cross,synthetic_negative
1CX8_G_F,1B4K_A_B,0,train,random_cross,synthetic_negative
1CFF_A_B,1CFF_A_B,1,train,,native_pair
1CFF_A_B,1CDC_A_B,0,train,random_cross,synthetic_negative
1CFF_A_B,1BBH_A_B,0,train,random_cross,synthetic_negative
1CFF_A_B,1CLI_A_B,0,train,random_cross,synthetic_negative
1B4K_A_B,1B4K_A_B,1,train,,native_pair
1B4K_A_B,1APZ_B_D,0,train,random_cross,synthetic_negative
1B4K_A_B,1CFF_A_B,0,train,random_cross,synthetic_negative
1B4K_A_B,1CB7_B_D,0,train,random_cross,synthetic_negative
1AXI_A_B,1AXI_A_B,1,train,,native_pair
1AXI_A_B,1BCR_A_B,0,train,random_cross,synthetic_negative
1AXI_A_B,1APZ_B_D,0,train,random_cross,synthetic_negative
1AXI_A_B,1BJA_A_B,0,train,random_cross,synthetic_negative
1APZ_B_D,1APZ_B_D,1,train,,native_pair
1APZ_B_D,1BJ1_K_V,0,train,random_cross,synthetic_negative
1APZ_B_D,1D2Z_A_B,0,train,random_cross,synthetic_negative
1APZ_B_D,1BJA_A_B,0,train,random_cross,synthetic_negative
1AZS_AB_C,1AZS_AB_C,1,train,,native_pair
1AZS_AB_C,1APZ_B_D,0,train,random_cross,synthetic_negative
1AZS_AB_C,1AZZ_A_D,0,train,random_cross,synthetic_negative
1AZS_AB_C,1CFF_A_B,0,train,random_cross,synthetic_negative
1D2Z_A_B,1D2Z_A_B,1,train,,native_pair
1D2Z_A_B,1A6J_A_B,0,train,random_cross,synthetic_negative
1D2Z_A_B,1BDF_C_D,0,train,random_cross,synthetic_negative
1D2Z_A_B,1BJA_A_B,0,train,random_cross,synthetic_negative
1CLI_A_B,1CLI_A_B,1,train,,native_pair
1CLI_A_B,1AZS_AB_C,0,train,random_cross,synthetic_negative
1CLI_A_B,1BJ1_K_V,0,train,random_cross,synthetic_negative
1CLI_A_B,1B4K_A_B,0,train,random_cross,synthetic_negative
1BDF_C_D,1BDF_C_D,1,train,,native_pair
1BDF_C_D,1APZ_B_D,0,train,random_cross,synthetic_negative
1BDF_C_D,1BCR_A_B,0,train,random_cross,synthetic_negative
1BDF_C_D,1BJ1_K_V,0,train,random_cross,synthetic_negative
1CN3_E_D,1CN3_E_D,1,train,,native_pair
1CN3_E_D,1A6J_A_B,0,train,random_cross,synthetic_negative
1CN3_E_D,1CX8_G_F,0,train,random_cross,synthetic_negative
1CN3_E_D,1B4K_A_B,0,train,random_cross,synthetic_negative
1AVO_K_L,1AVO_K_L,1,train,,native_pair
1AVO_K_L,1BJ1_K_V,0,train,random_cross,synthetic_negative
1AVO_K_L,1CX8_G_F,0,train,random_cross,synthetic_negative
1AVO_K_L,1BJA_A_B,0,train,random_cross,synthetic_negative
1CQI_A_B,1CQI_A_B,1,train,,native_pair
1CQI_A_B,1AZS_AB_C,0,train,random_cross,synthetic_negative
1CQI_A_B,1CFF_A_B,0,train,random_cross,synthetic_negative
1CQI_A_B,1CLI_A_B,0,train,random_cross,synthetic_negative
1AZZ_A_D,1AZZ_A_D,1,train,,native_pair
1AZZ_A_D,1APZ_B_D,0,train,random_cross,synthetic_negative
1AZZ_A_D,1BBH_A_B,0,train,random_cross,synthetic_negative
1AZZ_A_D,1CQI_A_B,0,train,random_cross,synthetic_negative
